"Land";"Saarland"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Regionalverband Saarbrücken";"10041";"Oberbergischer Kreis";"05374";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Rheinisch-Bergischer Kreis";"05378";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Sieg-Kreis";"05382";"50";"40";"20";"40";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"055xx";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Gelsenkirchen, Stadt";"05513";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Münster, Stadt";"05515";"20";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Borken";"05554";"30";"30";"0";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Coesfeld";"05558";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Recklinghausen";"05562";"50";"40";"10";"40";"20";"0"
"Regionalverband Saarbrücken";"10041";"Steinfurt";"05566";"20";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Warendorf";"05570";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"057xx";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Gütersloh";"05754";"30";"20";"10";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Minden-Lübbecke";"05770";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Paderborn";"05774";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"059xx";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Bochum, Stadt";"05911";"40";"20";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Dortmund, Stadt";"05913";"50";"40";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Herne, Stadt";"05916";"50";"10";"40";"0";"40";"0"
"Regionalverband Saarbrücken";"10041";"Ennepe-Ruhr-Kreis";"05954";"30";"20";"10";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Hochsauerlandkreis";"05958";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Märkischer Kreis";"05962";"30";"10";"10";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Siegen-Wittgenstein";"05970";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Soest";"05974";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Unna";"05978";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"064xx";"10";"0";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Darmstadt, Wissenschaftsstadt";"06411";"30";"30";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Frankfurt am Main, Stadt";"06412";"130";"80";"50";"80";"50";"0"
"Regionalverband Saarbrücken";"10041";"Offenbach am Main, Stadt";"06413";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Wiesbaden, Landeshauptstadt";"06414";"80";"40";"30";"60";"20";"0"
"Regionalverband Saarbrücken";"10041";"Bergstraße";"06431";"60";"50";"20";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Darmstadt-Dieburg";"06432";"40";"30";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Groß-Gerau";"06433";"60";"40";"30";"40";"20";"10"
"Regionalverband Saarbrücken";"10041";"Hochtaunuskreis";"06434";"50";"30";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Main-Kinzig-Kreis";"06435";"50";"40";"20";"40";"10";"0"
"Regionalverband Saarbrücken";"10041";"Main-Taunus-Kreis";"06436";"50";"30";"20";"40";"0";"0"
"Regionalverband Saarbrücken";"10041";"Offenbach";"06438";"60";"40";"30";"40";"20";"0"
"Regionalverband Saarbrücken";"10041";"Rheingau-Taunus-Kreis";"06439";"70";"40";"30";"60";"10";"10"
"Regionalverband Saarbrücken";"10041";"Wetteraukreis";"06440";"70";"20";"50";"30";"50";"0"
"Regionalverband Saarbrücken";"10041";"Gießen";"06531";"50";"30";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Lahn-Dill-Kreis";"06532";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Limburg-Weilburg";"06533";"20";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Marburg-Biedenkopf";"06534";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Vogelsbergkreis";"06535";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"066xx";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Kassel, documenta-Stadt";"06611";"30";"20";"0";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Fulda";"06631";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Kassel";"06633";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Schwalm-Eder-Kreis";"06634";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Waldeck-Frankenberg";"06635";"30";"20";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"070xx";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Koblenz, kreisfreie Stadt";"07111";"70";"40";"40";"30";"40";"0"
"Regionalverband Saarbrücken";"10041";"Ahrweiler";"07131";"30";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Altenkirchen (Westerwald)";"07132";"20";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Bad Kreuznach";"07133";"90";"50";"40";"90";"0";"0"
"Regionalverband Saarbrücken";"10041";"Birkenfeld";"07134";"240";"150";"100";"200";"50";"10"
"Regionalverband Saarbrücken";"10041";"Cochem-Zell";"07135";"40";"20";"20";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Mayen-Koblenz";"07137";"110";"60";"50";"70";"40";"0"
"Regionalverband Saarbrücken";"10041";"Neuwied";"07138";"50";"30";"20";"20";"30";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Hunsrück-Kreis";"07140";"80";"30";"50";"60";"30";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Lahn-Kreis";"07141";"40";"20";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Westerwaldkreis";"07143";"60";"40";"20";"40";"20";"0"
"Regionalverband Saarbrücken";"10041";"Trier, kreisfreie Stadt";"07211";"320";"150";"170";"260";"60";"10"
"Regionalverband Saarbrücken";"10041";"Bernkastel-Wittlich";"07231";"190";"130";"60";"140";"50";"10"
"Regionalverband Saarbrücken";"10041";"Eifelkreis Bitburg-Prüm";"07232";"60";"40";"20";"40";"20";"10"
"Regionalverband Saarbrücken";"10041";"Vulkaneifel";"07233";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Trier-Saarburg";"07235";"450";"240";"200";"400";"40";"40"
"Regionalverband Saarbrücken";"10041";"Frankenthal (Pfalz), kreisfreie Stadt";"07311";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Kaiserslautern, kreisfreie Stadt";"07312";"420";"250";"170";"310";"120";"20"
"Regionalverband Saarbrücken";"10041";"Landau in der Pfalz, kreisfreie Stadt";"07313";"40";"20";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"70";"40";"30";"50";"20";"0"
"Regionalverband Saarbrücken";"10041";"Mainz, kreisfreie Stadt";"07315";"120";"50";"70";"90";"40";"0"
"Regionalverband Saarbrücken";"10041";"Neustadt an der Weinstraße, kreisfreie Stadt";"07316";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Pirmasens, kreisfreie Stadt";"07317";"260";"150";"110";"220";"40";"10"
"Regionalverband Saarbrücken";"10041";"Worms, kreisfreie Stadt";"07319";"40";"30";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Zweibrücken, kreisfreie Stadt";"07320";"790";"450";"330";"730";"50";"20"
"Regionalverband Saarbrücken";"10041";"Alzey-Worms";"07331";"80";"40";"40";"70";"10";"0"
"Regionalverband Saarbrücken";"10041";"Bad Dürkheim";"07332";"100";"60";"40";"90";"10";"0"
"Regionalverband Saarbrücken";"10041";"Donnersbergkreis";"07333";"80";"50";"30";"70";"10";"0"
"Regionalverband Saarbrücken";"10041";"Germersheim";"07334";"70";"40";"30";"50";"20";"0"
"Regionalverband Saarbrücken";"10041";"Kaiserslautern";"07335";"600";"380";"220";"560";"40";"20"
"Regionalverband Saarbrücken";"10041";"Kusel";"07336";"700";"440";"260";"660";"40";"30"
"Regionalverband Saarbrücken";"10041";"Südliche Weinstraße";"07337";"60";"40";"20";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Pfalz-Kreis";"07338";"80";"40";"30";"80";"0";"0"
"Regionalverband Saarbrücken";"10041";"Mainz-Bingen";"07339";"110";"50";"70";"110";"10";"10"
"Regionalverband Saarbrücken";"10041";"Südwestpfalz";"07340";"660";"400";"250";"620";"40";"30"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"081xx";"10";"10";"0";"0";"0";"0"
"Regionalverband Saarbrücken";"10041";"Stuttgart, Landeshauptstadt";"08111";"120";"80";"40";"80";"40";"0"
"Regionalverband Saarbrücken";"10041";"Böblingen";"08115";"50";"30";"20";"30";"20";"0"
"Regionalverband Saarbrücken";"10041";"Esslingen";"08116";"50";"40";"10";"40";"10";"0"
"Regionalverband Saarbrücken";"10041";"Göppingen";"08117";"20";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Ludwigsburg";"08118";"60";"40";"20";"50";"10";"0"
"Regionalverband Saarbrücken";"10041";"Rems-Murr-Kreis";"08119";"50";"40";"10";"20";"30";"0"
"Regionalverband Saarbrücken";"10041";"Heilbronn, Universitätsstadt";"08121";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Heilbronn";"08125";"40";"30";"10";"20";"20";"0"
"Regionalverband Saarbrücken";"10041";"Hohenlohekreis";"08126";"20";"20";"0";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Schwäbisch Hall";"08127";"20";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Heidenheim";"08135";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Ostalbkreis";"08136";"40";"30";"10";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"082xx";"10";"0";"0";"0";"10";"0"
"Regionalverband Saarbrücken";"10041";"Baden-Baden, Stadt";"08211";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Karlsruhe, Stadt";"08212";"60";"40";"20";"40";"20";"0"
"Regionalverband Saarbrücken";"10041";"Karlsruhe";"08215";"70";"50";"20";"50";"20";"0"
"Regionalverband Saarbrücken";"10041";"Rastatt";"08216";"40";"20";"20";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Heidelberg, Stadt";"08221";"30";"10";"20";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Mannheim, Universitätsstadt";"08222";"110";"80";"30";"80";"40";"0"
"Regionalverband Saarbrücken";"10041";"Neckar-Odenwald-Kreis";"08225";"20";"20";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Rhein-Neckar-Kreis";"08226";"90";"50";"30";"70";"10";"0"
"Regionalverband Saarbrücken";"10041";"Pforzheim, Stadt";"08231";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Calw";"08235";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Enzkreis";"08236";"20";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"083xx";"20";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Freiburg im Breisgau, Stadt";"08311";"60";"40";"20";"50";"20";"0"
"Regionalverband Saarbrücken";"10041";"Breisgau-Hochschwarzwald";"08315";"70";"50";"20";"30";"40";"10"
"Regionalverband Saarbrücken";"10041";"Emmendingen";"08316";"20";"20";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Ortenaukreis";"08317";"100";"70";"20";"70";"30";"0"
"Regionalverband Saarbrücken";"10041";"Schwarzwald-Baar-Kreis";"08326";"20";"20";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Konstanz";"08335";"30";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Lörrach";"08336";"10";"10";"10";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"084xx";"20";"10";"10";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Reutlingen";"08415";"30";"20";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Tübingen";"08416";"30";"20";"10";"10";"20";"0"
"Regionalverband Saarbrücken";"10041";"Zollernalbkreis";"08417";"10";"10";"0";"10";"0";"0"
