"Land";"Bremen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Bremen, Stadt";"04011";"Vechta";"03460";"530";"370";"150";"470";"60";"20"
"Bremen, Stadt";"04011";"Wesermarsch";"03461";"3000";"1910";"1100";"2740";"270";"80"
"Bremen, Stadt";"04011";"Wittmund";"03462";"170";"100";"70";"160";"10";"10"
"Bremen, Stadt";"04011";"Bremerhaven, Stadt";"04012";"6260";"4710";"1550";"5240";"1020";"170"
"Bremen, Stadt";"04011";"Düsseldorf, Stadt";"05111";"180";"120";"60";"140";"40";"0"
"Bremen, Stadt";"04011";"Duisburg, Stadt";"05112";"240";"180";"60";"150";"90";"10"
"Bremen, Stadt";"04011";"Essen, Stadt";"05113";"140";"100";"40";"120";"20";"0"
"Bremen, Stadt";"04011";"Krefeld, Stadt";"05114";"50";"30";"10";"40";"10";"0"
"Bremen, Stadt";"04011";"Mönchengladbach, Stadt";"05116";"60";"40";"20";"40";"20";"0"
"Bremen, Stadt";"04011";"Mülheim an der Ruhr, Stadt";"05117";"50";"30";"10";"30";"10";"0"
"Bremen, Stadt";"04011";"Oberhausen, Stadt";"05119";"70";"60";"10";"60";"10";"0"
"Bremen, Stadt";"04011";"Remscheid, Stadt";"05120";"10";"10";"10";"10";"0";"0"
"Bremen, Stadt";"04011";"Solingen, Klingenstadt";"05122";"30";"20";"10";"30";"0";"0"
"Bremen, Stadt";"04011";"Wuppertal, Stadt";"05124";"60";"40";"20";"50";"10";"0"
