"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Wiesbaden, Landeshauptstadt";"06414";"20";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Darmstadt-Dieburg";"06432";"20";"10";"10";"10";"10";"0"
"Erfurt, Stadt";"16051";"Main-Kinzig-Kreis";"06435";"40";"30";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Main-Taunus-Kreis";"06436";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Offenbach";"06438";"20";"10";"10";"10";"10";"0"
"Erfurt, Stadt";"16051";"Rheingau-Taunus-Kreis";"06439";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Wetteraukreis";"06440";"20";"20";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"0";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Gießen";"06531";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Lahn-Dill-Kreis";"06532";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Marburg-Biedenkopf";"06534";"20";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Kassel, documenta-Stadt";"06611";"40";"20";"20";"30";"0";"0"
"Erfurt, Stadt";"16051";"Fulda";"06631";"50";"40";"10";"40";"10";"0"
"Erfurt, Stadt";"16051";"Hersfeld-Rotenburg";"06632";"130";"80";"50";"90";"40";"0"
"Erfurt, Stadt";"16051";"Kassel";"06633";"30";"20";"10";"30";"0";"0"
"Erfurt, Stadt";"16051";"Schwalm-Eder-Kreis";"06634";"30";"20";"10";"30";"0";"0"
"Erfurt, Stadt";"16051";"Waldeck-Frankenberg";"06635";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Werra-Meißner-Kreis";"06636";"70";"40";"30";"70";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"070xx";"110";"70";"50";"80";"30";"10"
"Erfurt, Stadt";"16051";"Westerwaldkreis";"07143";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Mainz, kreisfreie Stadt";"07315";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Mainz-Bingen";"07339";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"081xx";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Stuttgart, Landeshauptstadt";"08111";"30";"30";"10";"30";"10";"0"
"Erfurt, Stadt";"16051";"Böblingen";"08115";"30";"10";"20";"20";"10";"0"
