"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Einpendler Kreise"
"Arbeitsort";"Regionalschlüssel";"Wohnort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Wesermarsch";"03461";"80";"50";"30";"70";"10";"0"
"Berlin, Stadt";"11000";"Wittmund";"03462";"60";"30";"30";"50";"10";"0"
"Berlin, Stadt";"11000";"Bremen, Stadt";"04011";"1340";"850";"490";"950";"380";"10"
"Berlin, Stadt";"11000";"Bremerhaven, Stadt";"04012";"140";"90";"50";"90";"40";"0"
"Berlin, Stadt";"11000";"Düsseldorf, Stadt";"05111";"2490";"1400";"1090";"1700";"790";"20"
"Berlin, Stadt";"11000";"Duisburg, Stadt";"05112";"780";"540";"240";"490";"290";"10"
"Berlin, Stadt";"11000";"Essen, Stadt";"05113";"1160";"770";"390";"880";"280";"10"
"Berlin, Stadt";"11000";"Krefeld, Stadt";"05114";"540";"260";"280";"400";"140";"0"
"Berlin, Stadt";"11000";"Mönchengladbach, Stadt";"05116";"320";"210";"120";"250";"70";"0"
"Berlin, Stadt";"11000";"Mülheim an der Ruhr, Stadt";"05117";"310";"210";"100";"230";"80";"10"
"Berlin, Stadt";"11000";"Oberhausen, Stadt";"05119";"240";"160";"80";"180";"60";"0"
"Berlin, Stadt";"11000";"Remscheid, Stadt";"05120";"100";"70";"30";"80";"20";"0"
"Berlin, Stadt";"11000";"Solingen, Klingenstadt";"05122";"210";"140";"70";"190";"30";"0"
"Berlin, Stadt";"11000";"Wuppertal, Stadt";"05124";"520";"350";"180";"360";"160";"0"
"Berlin, Stadt";"11000";"Kleve";"05154";"380";"220";"160";"280";"110";"0"
"Berlin, Stadt";"11000";"Mettmann";"05158";"700";"430";"270";"580";"120";"10"
"Berlin, Stadt";"11000";"Rhein-Kreis Neuss";"05162";"780";"470";"300";"610";"160";"0"
"Berlin, Stadt";"11000";"Viersen";"05166";"380";"210";"170";"330";"50";"10"
"Berlin, Stadt";"11000";"Wesel";"05170";"500";"320";"180";"440";"60";"10"
"Berlin, Stadt";"11000";"Bonn, Stadt";"05314";"1300";"710";"590";"1010";"290";"20"
"Berlin, Stadt";"11000";"Köln, Stadt";"05315";"3950";"2200";"1750";"3130";"820";"30"
"Berlin, Stadt";"11000";"Leverkusen, Stadt";"05316";"290";"190";"110";"220";"80";"0"
"Berlin, Stadt";"11000";"Städteregion Aachen";"05334";"970";"610";"360";"660";"310";"10"
"Berlin, Stadt";"11000";"Düren";"05358";"300";"190";"100";"220";"70";"0"
"Berlin, Stadt";"11000";"Rhein-Erft-Kreis";"05362";"820";"530";"290";"640";"180";"10"
"Berlin, Stadt";"11000";"Euskirchen";"05366";"260";"150";"110";"220";"50";"0"
"Berlin, Stadt";"11000";"Heinsberg";"05370";"240";"170";"80";"210";"40";"0"
"Berlin, Stadt";"11000";"Oberbergischer Kreis";"05374";"270";"160";"110";"240";"30";"10"
"Berlin, Stadt";"11000";"Rheinisch-Bergischer Kreis";"05378";"480";"290";"190";"420";"60";"0"
"Berlin, Stadt";"11000";"Rhein-Sieg-Kreis";"05382";"1180";"670";"500";"1000";"180";"10"
"Berlin, Stadt";"11000";"Bottrop, Stadt";"05512";"130";"70";"50";"100";"30";"0"
"Berlin, Stadt";"11000";"Gelsenkirchen, Stadt";"05513";"320";"240";"90";"210";"120";"10"
"Berlin, Stadt";"11000";"Münster, Stadt";"05515";"920";"580";"340";"740";"190";"10"
"Berlin, Stadt";"11000";"Borken";"05554";"290";"180";"110";"240";"50";"10"
"Berlin, Stadt";"11000";"Coesfeld";"05558";"220";"130";"90";"190";"30";"10"
"Berlin, Stadt";"11000";"Recklinghausen";"05562";"680";"460";"220";"530";"150";"10"
"Berlin, Stadt";"11000";"Steinfurt";"05566";"420";"270";"150";"350";"70";"10"
"Berlin, Stadt";"11000";"Warendorf";"05570";"270";"170";"100";"220";"40";"10"
"Berlin, Stadt";"11000";"Bielefeld, Stadt";"05711";"630";"370";"260";"500";"130";"10"
"Berlin, Stadt";"11000";"Gütersloh";"05754";"400";"240";"160";"330";"70";"10"
"Berlin, Stadt";"11000";"Herford";"05758";"260";"150";"100";"210";"50";"0"
"Berlin, Stadt";"11000";"Höxter";"05762";"160";"90";"70";"140";"20";"0"
"Berlin, Stadt";"11000";"Lippe";"05766";"440";"240";"190";"330";"110";"0"
"Berlin, Stadt";"11000";"Minden-Lübbecke";"05770";"390";"210";"180";"340";"60";"10"
"Berlin, Stadt";"11000";"Paderborn";"05774";"420";"280";"140";"330";"90";"10"
"Berlin, Stadt";"11000";"Bochum, Stadt";"05911";"650";"430";"210";"480";"160";"10"
"Berlin, Stadt";"11000";"Dortmund, Stadt";"05913";"1120";"770";"350";"810";"310";"10"
"Berlin, Stadt";"11000";"Hagen, Stadt der FernUniversität";"05914";"210";"130";"80";"140";"60";"10"
"Berlin, Stadt";"11000";"Hamm, Stadt";"05915";"190";"130";"60";"150";"50";"0"
"Berlin, Stadt";"11000";"Herne, Stadt";"05916";"270";"150";"120";"130";"140";"0"
"Berlin, Stadt";"11000";"Ennepe-Ruhr-Kreis";"05954";"410";"270";"140";"360";"50";"0"
"Berlin, Stadt";"11000";"Hochsauerlandkreis";"05958";"260";"170";"90";"210";"60";"0"
"Berlin, Stadt";"11000";"Märkischer Kreis";"05962";"290";"190";"100";"220";"70";"0"
"Berlin, Stadt";"11000";"Olpe";"05966";"80";"50";"40";"70";"10";"0"
"Berlin, Stadt";"11000";"Siegen-Wittgenstein";"05970";"250";"170";"80";"190";"60";"0"
"Berlin, Stadt";"11000";"Soest";"05974";"270";"150";"110";"220";"40";"0"
"Berlin, Stadt";"11000";"Unna";"05978";"480";"310";"170";"400";"90";"10"
"Berlin, Stadt";"11000";"Darmstadt, Wissenschaftsstadt";"06411";"430";"270";"160";"280";"150";"10"
"Berlin, Stadt";"11000";"Frankfurt am Main, Stadt";"06412";"3250";"1890";"1360";"2140";"1110";"20"
"Berlin, Stadt";"11000";"Offenbach am Main, Stadt";"06413";"370";"230";"140";"210";"170";"10"
"Berlin, Stadt";"11000";"Wiesbaden, Landeshauptstadt";"06414";"760";"420";"340";"500";"250";"10"
"Berlin, Stadt";"11000";"Bergstraße";"06431";"330";"190";"140";"280";"60";"10"
"Berlin, Stadt";"11000";"Darmstadt-Dieburg";"06432";"410";"260";"150";"290";"120";"10"
"Berlin, Stadt";"11000";"Groß-Gerau";"06433";"380";"230";"140";"260";"120";"10"
"Berlin, Stadt";"11000";"Hochtaunuskreis";"06434";"620";"370";"250";"490";"130";"0"
"Berlin, Stadt";"11000";"Main-Kinzig-Kreis";"06435";"600";"360";"240";"450";"150";"0"
"Berlin, Stadt";"11000";"Main-Taunus-Kreis";"06436";"590";"360";"220";"440";"150";"0"
"Berlin, Stadt";"11000";"Odenwaldkreis";"06437";"90";"60";"30";"70";"20";"0"
"Berlin, Stadt";"11000";"Offenbach";"06438";"660";"410";"250";"500";"160";"10"
"Berlin, Stadt";"11000";"Rheingau-Taunus-Kreis";"06439";"280";"170";"110";"210";"70";"0"
"Berlin, Stadt";"11000";"Wetteraukreis";"06440";"570";"310";"260";"390";"180";"0"
"Berlin, Stadt";"11000";"Gießen";"06531";"380";"220";"160";"290";"90";"10"
"Berlin, Stadt";"11000";"Lahn-Dill-Kreis";"06532";"200";"130";"70";"170";"40";"0"
"Berlin, Stadt";"11000";"Limburg-Weilburg";"06533";"220";"150";"70";"170";"60";"10"
"Berlin, Stadt";"11000";"Marburg-Biedenkopf";"06534";"310";"190";"120";"260";"50";"0"
"Berlin, Stadt";"11000";"Vogelsbergkreis";"06535";"80";"50";"30";"70";"10";"0"
