lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert DSE/m²
298;05382;Rhein-Sieg-Kreis;8.81 
299;06439;Rheingau-Taunus-Kreis;3.37 
300;05378;Rheinisch-Bergischer Kreis;10.74 
301;09673;Rhön-Grabfeld;2.25 
302;09163;Rosenheim;18.26 
303;09187;Rosenheim (Landkreis);4.07 
304;13072;Rostock;2.06 
305;13003;Rostock (Kreisfreie Stadt);13.05 
306;03357;Rotenburg (Wümme);2.89 
307;09576;Roth;3.26 
308;09277;Rottal-Inn;3.71 
309;08325;Rottweil;3.95 
310;16074;Saale-Holzland-Kreis;2.95 
311;16075;Saale-Orla-Kreis;2.39 
312;15088;Saalekreis;4.29 
313;16073;Saalfeld-Rudolstadt;2.93 
314;10044;Saarlouis;8.85 
315;10045;Saarpfalz-Kreis;7.75 
316;03102;Salzgitter;9.91 
317;15089;Salzlandkreis;3.80 
318;03257;Schaumburg;6.39 
319;01059;Schleswig-Flensburg;3.40 
320;16066;Schmalkalden-Meiningen;2.81 
321;09565;Schwabach;13.84 
322;06634;Schwalm-Eder-Kreis;3.22 
323;09376;Schwandorf;3.13 
324;08326;Schwarzwald-Baar-Kreis;3.53 
325;09662;Schweinfurt;22.73 
326;09678;Schweinfurt (Landkreis);2.91 
327;13004;Schwerin;9.27 
328;08127;Schwäbisch Hall;3.35 
329;01060;Segeberg;4.90 
330;05970;Siegen-Wittgenstein;5.31 
331;08437;Sigmaringen;2.95 
332;05974;Soest;5.28 
333;05122;Solingen;22.17 
334;16072;Sonneberg;3.56 
335;07318;Speyer;17.46 
336;12071;Spree-Neiße;4.72 
337;10046;St. Wendel;4.61 
338;03359;Stade;4.22 
339;09188;Starnberg;5.37 
340;01061;Steinburg;3.92 
341;05566;Steinfurt;6.12 
342;15090;Stendal;1.77 
343;01062;Stormarn;6.82 
344;09263;Straubing;11.85 
345;09278;Straubing-Bogen;2.96 
346;08111;Stuttgart;22.01 
347;05334;Städteregion Aachen;10.59 
348;16054;Suhl;5.40 
349;14628;Sächsische Schweiz-Osterzgebirge;4.14 
350;16068;Sömmerda;2.15 
351;07337;Südliche Weinstraße;3.34 
352;07340;Südwestpfalz;2.52 
353;12072;Teltow-Fläming;2.69 
354;09377;Tirschenreuth;2.26 
355;09189;Traunstein;3.03 
356;07211;Trier;11.98 
357;07235;Trier-Saarburg;3.08 
358;08327;Tuttlingen;3.53 
359;08416;Tübingen;5.87 
360;12073;Uckermark;1.97 
361;03360;Uelzen;2.15 
362;08421;Ulm;12.78 
363;05978;Unna;12.12 
364;16064;Unstrut-Hainich-Kreis;2.64 
365;09778;Unterallgäu;3.12 
366;03460;Vechta;5.67 
367;03361;Verden;5.06 
368;05166;Viersen;9.97 
369;06535;Vogelsbergkreis;2.12 
370;14523;Vogtlandkreis;4.95 
371;13075;Vorpommern-Greifswald;1.91 
372;13073;Vorpommern-Rügen;2.19 
373;07233;Vulkaneifel;2.67 
374;06635;Waldeck-Frankenberg;2.35 
375;08337;Waldshut;3.13 
376;05570;Warendorf;4.91 
377;16063;Wartburgkreis;2.77 
378;09363;Weiden i.d. OPf.;11.32 
379;09190;Weilheim-Schongau;2.98 
380;16055;Weimar;9.68 
381;16071;Weimarer Land;2.78 
382;09577;Weißenburg-Gunzenhausen;2.61 
383;06636;Werra-Meißner-Kreis;2.75 
384;05170;Wesel;8.46 
385;03461;Wesermarsch;4.35 
386;07143;Westerwaldkreis;5.74 
387;06440;Wetteraukreis;4.41 
388;06414;Wiesbaden;14.23 
389;03405;Wilhelmshaven;16.05 
390;15091;Wittenberg;2.53 
391;03462;Wittmund;3.42 
392;03158;Wolfenbüttel;3.37 
393;03103;Wolfsburg;10.90 
394;07319;Worms;10.86 
395;09479;Wunsiedel i. Fichtelgebirge;3.49 
396;05124;Wuppertal;20.48 
397;09663;Würzburg;20.03 
398;09679;Würzburg (Landkreis);3.12 
399;08417;Zollernalbkreis;4.30 
400;07320;Zweibrücken;10.52 
401;14524;Zwickau;8.42 
;;Deutschland;4.50 
