"Land";"Hamburg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Hamburg, Freie und Hansestadt";"02000";"Emsland";"03454";"180";"140";"50";"140";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Friesland";"03455";"40";"30";"10";"30";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Grafschaft Bentheim";"03456";"50";"40";"10";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Leer";"03457";"100";"70";"40";"90";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Oldenburg";"03458";"140";"90";"50";"100";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Osnabrück";"03459";"120";"80";"30";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Vechta";"03460";"120";"70";"50";"70";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wesermarsch";"03461";"90";"80";"20";"70";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wittmund";"03462";"10";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bremen, Stadt";"04011";"3180";"1980";"1200";"2550";"630";"70"
"Hamburg, Freie und Hansestadt";"02000";"Bremerhaven, Stadt";"04012";"240";"180";"60";"160";"80";"10"
"Hamburg, Freie und Hansestadt";"02000";"Düsseldorf, Stadt";"05111";"3310";"1620";"1690";"2870";"440";"80"
"Hamburg, Freie und Hansestadt";"02000";"Duisburg, Stadt";"05112";"270";"150";"120";"160";"100";"0"
"Hamburg, Freie und Hansestadt";"02000";"Essen, Stadt";"05113";"790";"480";"310";"640";"150";"10"
"Hamburg, Freie und Hansestadt";"02000";"Krefeld, Stadt";"05114";"120";"80";"40";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mönchengladbach, Stadt";"05116";"120";"80";"40";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Mülheim an der Ruhr, Stadt";"05117";"60";"50";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Oberhausen, Stadt";"05119";"110";"60";"50";"70";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Remscheid, Stadt";"05120";"10";"10";"0";"10";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Solingen, Klingenstadt";"05122";"90";"60";"30";"80";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wuppertal, Stadt";"05124";"140";"90";"50";"120";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kleve";"05154";"80";"50";"40";"60";"20";"10"
"Hamburg, Freie und Hansestadt";"02000";"Mettmann";"05158";"400";"280";"120";"330";"70";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Kreis Neuss";"05162";"420";"260";"160";"270";"160";"0"
"Hamburg, Freie und Hansestadt";"02000";"Viersen";"05166";"300";"200";"100";"190";"110";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wesel";"05170";"100";"70";"30";"70";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bonn, Stadt";"05314";"570";"340";"240";"500";"70";"10"
"Hamburg, Freie und Hansestadt";"02000";"Köln, Stadt";"05315";"2860";"1640";"1220";"2390";"470";"20"
"Hamburg, Freie und Hansestadt";"02000";"Leverkusen, Stadt";"05316";"80";"40";"40";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Städteregion Aachen";"05334";"490";"340";"150";"380";"110";"0"
"Hamburg, Freie und Hansestadt";"02000";"Düren";"05358";"40";"20";"20";"20";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Erft-Kreis";"05362";"180";"140";"40";"130";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Euskirchen";"05366";"20";"10";"0";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Heinsberg";"05370";"30";"30";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Oberbergischer Kreis";"05374";"220";"160";"50";"170";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rheinisch-Bergischer Kreis";"05378";"50";"40";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Rhein-Sieg-Kreis";"05382";"220";"110";"110";"190";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bottrop, Stadt";"05512";"40";"20";"20";"20";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Gelsenkirchen, Stadt";"05513";"150";"110";"40";"60";"90";"0"
"Hamburg, Freie und Hansestadt";"02000";"Münster, Stadt";"05515";"450";"250";"200";"410";"40";"10"
"Hamburg, Freie und Hansestadt";"02000";"Borken";"05554";"130";"90";"40";"110";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Coesfeld";"05558";"50";"30";"20";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Recklinghausen";"05562";"140";"90";"40";"90";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Steinfurt";"05566";"230";"160";"80";"220";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Warendorf";"05570";"130";"60";"80";"120";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Bielefeld, Stadt";"05711";"530";"320";"210";"380";"150";"0"
"Hamburg, Freie und Hansestadt";"02000";"Gütersloh";"05754";"340";"250";"90";"270";"70";"10"
"Hamburg, Freie und Hansestadt";"02000";"Herford";"05758";"140";"90";"50";"110";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Höxter";"05762";"20";"20";"0";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Lippe";"05766";"110";"70";"40";"100";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Minden-Lübbecke";"05770";"160";"120";"40";"140";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Paderborn";"05774";"120";"80";"40";"100";"20";"10"
"Hamburg, Freie und Hansestadt";"02000";"Bochum, Stadt";"05911";"270";"180";"90";"220";"40";"10"
"Hamburg, Freie und Hansestadt";"02000";"Dortmund, Stadt";"05913";"400";"210";"180";"320";"80";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hagen, Stadt der FernUniversität";"05914";"50";"30";"20";"40";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hamm, Stadt";"05915";"40";"20";"20";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Herne, Stadt";"05916";"40";"30";"10";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Ennepe-Ruhr-Kreis";"05954";"150";"70";"80";"120";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hochsauerlandkreis";"05958";"70";"40";"30";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Märkischer Kreis";"05962";"70";"40";"30";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Olpe";"05966";"20";"20";"0";"20";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Siegen-Wittgenstein";"05970";"110";"80";"30";"100";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Soest";"05974";"80";"50";"20";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Unna";"05978";"500";"410";"90";"330";"170";"0"
"Hamburg, Freie und Hansestadt";"02000";"Darmstadt, Wissenschaftsstadt";"06411";"210";"150";"70";"180";"30";"0"
"Hamburg, Freie und Hansestadt";"02000";"Frankfurt am Main, Stadt";"06412";"4200";"2290";"1910";"3480";"720";"30"
"Hamburg, Freie und Hansestadt";"02000";"Offenbach am Main, Stadt";"06413";"130";"80";"40";"70";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wiesbaden, Landeshauptstadt";"06414";"490";"300";"190";"430";"60";"10"
"Hamburg, Freie und Hansestadt";"02000";"Bergstraße";"06431";"80";"50";"30";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Darmstadt-Dieburg";"06432";"80";"50";"30";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Groß-Gerau";"06433";"230";"160";"70";"170";"60";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hochtaunuskreis";"06434";"1010";"530";"480";"800";"210";"0"
"Hamburg, Freie und Hansestadt";"02000";"Main-Kinzig-Kreis";"06435";"160";"120";"40";"120";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Main-Taunus-Kreis";"06436";"670";"410";"260";"530";"150";"0"
"Hamburg, Freie und Hansestadt";"02000";"Odenwaldkreis";"06437";"60";"50";"10";"20";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Offenbach";"06438";"480";"310";"180";"370";"110";"10"
"Hamburg, Freie und Hansestadt";"02000";"Rheingau-Taunus-Kreis";"06439";"70";"40";"30";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Wetteraukreis";"06440";"160";"120";"40";"120";"40";"0"
"Hamburg, Freie und Hansestadt";"02000";"Gießen";"06531";"80";"50";"30";"70";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Lahn-Dill-Kreis";"06532";"70";"50";"20";"60";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Limburg-Weilburg";"06533";"30";"20";"20";"30";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Marburg-Biedenkopf";"06534";"70";"30";"40";"60";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Vogelsbergkreis";"06535";"20";"10";"10";"10";"0";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kassel, documenta-Stadt";"06611";"240";"150";"90";"190";"50";"0"
"Hamburg, Freie und Hansestadt";"02000";"Fulda";"06631";"80";"50";"30";"70";"20";"0"
"Hamburg, Freie und Hansestadt";"02000";"Hersfeld-Rotenburg";"06632";"30";"20";"10";"20";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Kassel";"06633";"60";"50";"10";"50";"10";"0"
"Hamburg, Freie und Hansestadt";"02000";"Schwalm-Eder-Kreis";"06634";"40";"20";"20";"30";"10";"0"
