"Land";"Baden-Württemberg"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Stuttgart, Landeshauptstadt";"08111";"Düren";"05358";"20";"10";"10";"10";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Rhein-Erft-Kreis";"05362";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Euskirchen";"05366";"20";"10";"20";"10";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Heinsberg";"05370";"10";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Oberbergischer Kreis";"05374";"220";"150";"70";"180";"50";"0"
"Stuttgart, Landeshauptstadt";"08111";"Rheinisch-Bergischer Kreis";"05378";"20";"10";"10";"20";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Rhein-Sieg-Kreis";"05382";"70";"40";"20";"50";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"055xx";"10";"10";"0";"10";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bottrop, Stadt";"05512";"10";"10";"0";"10";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Gelsenkirchen, Stadt";"05513";"30";"20";"10";"20";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Münster, Stadt";"05515";"50";"30";"20";"30";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Borken";"05554";"20";"10";"10";"20";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Recklinghausen";"05562";"50";"20";"30";"40";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Steinfurt";"05566";"30";"20";"10";"10";"20";"0"
"Stuttgart, Landeshauptstadt";"08111";"Warendorf";"05570";"20";"10";"10";"20";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Übrige Kreise (Regierungsbezirk)";"057xx";"0";"0";"0";"0";"0";"0"
"Stuttgart, Landeshauptstadt";"08111";"Bielefeld, Stadt";"05711";"60";"30";"30";"50";"10";"0"
"Stuttgart, Landeshauptstadt";"08111";"Gütersloh";"05754";"50";"40";"10";"30";"10";"10"
"Stuttgart, Landeshauptstadt";"08111";"Herford";"05758";"20";"20";"0";"20";"0";"0"
