"Land";"Thüringen"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Erfurt, Stadt";"16051";"Hagen, Stadt der FernUniversität";"05914";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Hamm, Stadt";"05915";"10";"10";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Siegen-Wittgenstein";"05970";"20";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Unna";"05978";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"064xx";"0";"0";"0";"0";"0";"0"
"Erfurt, Stadt";"16051";"Darmstadt, Wissenschaftsstadt";"06411";"40";"30";"10";"40";"0";"0"
"Erfurt, Stadt";"16051";"Frankfurt am Main, Stadt";"06412";"260";"170";"90";"230";"30";"10"
"Erfurt, Stadt";"16051";"Offenbach am Main, Stadt";"06413";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Wiesbaden, Landeshauptstadt";"06414";"60";"40";"20";"60";"10";"0"
"Erfurt, Stadt";"16051";"Bergstraße";"06431";"20";"10";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Darmstadt-Dieburg";"06432";"60";"30";"20";"40";"10";"0"
"Erfurt, Stadt";"16051";"Groß-Gerau";"06433";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Hochtaunuskreis";"06434";"60";"30";"30";"50";"10";"0"
"Erfurt, Stadt";"16051";"Main-Kinzig-Kreis";"06435";"40";"30";"10";"40";"10";"0"
"Erfurt, Stadt";"16051";"Main-Taunus-Kreis";"06436";"50";"30";"20";"50";"0";"0"
"Erfurt, Stadt";"16051";"Offenbach";"06438";"50";"30";"20";"40";"0";"0"
"Erfurt, Stadt";"16051";"Rheingau-Taunus-Kreis";"06439";"20";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Wetteraukreis";"06440";"30";"20";"10";"20";"10";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"065xx";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Gießen";"06531";"10";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Lahn-Dill-Kreis";"06532";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Marburg-Biedenkopf";"06534";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"066xx";"10";"0";"0";"0";"0";"0"
"Erfurt, Stadt";"16051";"Kassel, documenta-Stadt";"06611";"70";"50";"20";"60";"20";"0"
"Erfurt, Stadt";"16051";"Fulda";"06631";"90";"70";"20";"90";"10";"0"
"Erfurt, Stadt";"16051";"Hersfeld-Rotenburg";"06632";"50";"40";"10";"40";"10";"0"
"Erfurt, Stadt";"16051";"Kassel";"06633";"20";"20";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Schwalm-Eder-Kreis";"06634";"70";"60";"10";"70";"0";"0"
"Erfurt, Stadt";"16051";"Werra-Meißner-Kreis";"06636";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"070xx";"90";"70";"20";"70";"20";"0"
"Erfurt, Stadt";"16051";"Koblenz, kreisfreie Stadt";"07111";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Cochem-Zell";"07135";"10";"10";"0";"0";"10";"0"
"Erfurt, Stadt";"16051";"Westerwaldkreis";"07143";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Trier, kreisfreie Stadt";"07211";"20";"20";"0";"0";"20";"0"
"Erfurt, Stadt";"16051";"Mainz, kreisfreie Stadt";"07315";"40";"30";"10";"40";"0";"0"
"Erfurt, Stadt";"16051";"Donnersbergkreis";"07333";"10";"0";"10";"10";"0";"0"
"Erfurt, Stadt";"16051";"Mainz-Bingen";"07339";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Übrige Kreise (Regierungsbezirk)";"081xx";"20";"20";"0";"20";"0";"0"
"Erfurt, Stadt";"16051";"Stuttgart, Landeshauptstadt";"08111";"150";"100";"50";"120";"30";"0"
"Erfurt, Stadt";"16051";"Böblingen";"08115";"20";"10";"0";"10";"10";"0"
"Erfurt, Stadt";"16051";"Esslingen";"08116";"50";"30";"10";"40";"0";"0"
"Erfurt, Stadt";"16051";"Göppingen";"08117";"10";"10";"0";"10";"0";"0"
"Erfurt, Stadt";"16051";"Ludwigsburg";"08118";"40";"30";"10";"30";"0";"0"
"Erfurt, Stadt";"16051";"Rems-Murr-Kreis";"08119";"20";"20";"10";"20";"0";"0"
"Erfurt, Stadt";"16051";"Heilbronn, Universitätsstadt";"08121";"30";"20";"10";"30";"0";"0"
