"Land";"Berlin"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Berlin, Stadt";"11000";"Wesermarsch";"03461";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Wittmund";"03462";"10";"10";"0";"10";"0";"0"
"Berlin, Stadt";"11000";"Bremen, Stadt";"04011";"1000";"620";"380";"730";"270";"10"
"Berlin, Stadt";"11000";"Bremerhaven, Stadt";"04012";"80";"50";"30";"60";"20";"0"
"Berlin, Stadt";"11000";"Düsseldorf, Stadt";"05111";"4070";"2270";"1800";"2960";"1120";"30"
"Berlin, Stadt";"11000";"Duisburg, Stadt";"05112";"390";"260";"130";"300";"80";"0"
"Berlin, Stadt";"11000";"Essen, Stadt";"05113";"1160";"710";"450";"950";"210";"10"
"Berlin, Stadt";"11000";"Krefeld, Stadt";"05114";"270";"170";"100";"190";"70";"0"
"Berlin, Stadt";"11000";"Mönchengladbach, Stadt";"05116";"150";"110";"40";"110";"40";"0"
"Berlin, Stadt";"11000";"Mülheim an der Ruhr, Stadt";"05117";"160";"90";"70";"110";"50";"0"
"Berlin, Stadt";"11000";"Oberhausen, Stadt";"05119";"130";"100";"30";"90";"40";"0"
"Berlin, Stadt";"11000";"Remscheid, Stadt";"05120";"30";"20";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Solingen, Klingenstadt";"05122";"110";"70";"40";"90";"20";"0"
"Berlin, Stadt";"11000";"Wuppertal, Stadt";"05124";"480";"210";"280";"230";"260";"0"
"Berlin, Stadt";"11000";"Kleve";"05154";"190";"120";"80";"120";"70";"0"
"Berlin, Stadt";"11000";"Mettmann";"05158";"700";"440";"260";"520";"180";"0"
"Berlin, Stadt";"11000";"Rhein-Kreis Neuss";"05162";"510";"330";"180";"320";"180";"0"
"Berlin, Stadt";"11000";"Viersen";"05166";"240";"140";"100";"160";"90";"0"
"Berlin, Stadt";"11000";"Wesel";"05170";"250";"170";"80";"150";"100";"0"
"Berlin, Stadt";"11000";"Bonn, Stadt";"05314";"3240";"1530";"1710";"2480";"760";"20"
"Berlin, Stadt";"11000";"Köln, Stadt";"05315";"5760";"3140";"2620";"4290";"1470";"30"
"Berlin, Stadt";"11000";"Leverkusen, Stadt";"05316";"220";"120";"100";"180";"40";"0"
"Berlin, Stadt";"11000";"Städteregion Aachen";"05334";"520";"330";"200";"400";"130";"10"
"Berlin, Stadt";"11000";"Düren";"05358";"170";"90";"80";"100";"70";"0"
"Berlin, Stadt";"11000";"Rhein-Erft-Kreis";"05362";"540";"370";"170";"400";"130";"0"
"Berlin, Stadt";"11000";"Euskirchen";"05366";"30";"30";"10";"20";"10";"0"
"Berlin, Stadt";"11000";"Heinsberg";"05370";"70";"40";"30";"40";"20";"0"
"Berlin, Stadt";"11000";"Oberbergischer Kreis";"05374";"220";"160";"60";"190";"30";"0"
"Berlin, Stadt";"11000";"Rheinisch-Bergischer Kreis";"05378";"110";"70";"50";"90";"30";"0"
"Berlin, Stadt";"11000";"Rhein-Sieg-Kreis";"05382";"580";"380";"200";"480";"100";"0"
"Berlin, Stadt";"11000";"Bottrop, Stadt";"05512";"60";"40";"20";"40";"10";"0"
"Berlin, Stadt";"11000";"Gelsenkirchen, Stadt";"05513";"130";"80";"60";"100";"30";"0"
"Berlin, Stadt";"11000";"Münster, Stadt";"05515";"810";"540";"270";"630";"190";"10"
"Berlin, Stadt";"11000";"Borken";"05554";"190";"140";"50";"150";"40";"0"
"Berlin, Stadt";"11000";"Coesfeld";"05558";"70";"50";"30";"60";"20";"0"
"Berlin, Stadt";"11000";"Recklinghausen";"05562";"210";"140";"70";"170";"40";"0"
"Berlin, Stadt";"11000";"Steinfurt";"05566";"240";"180";"60";"200";"40";"0"
"Berlin, Stadt";"11000";"Warendorf";"05570";"100";"70";"30";"80";"20";"0"
"Berlin, Stadt";"11000";"Bielefeld, Stadt";"05711";"560";"300";"270";"440";"120";"10"
