"Land";"Saarland"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Regionalverband Saarbrücken";"10041";"Hagen, Stadt der FernUniversität";"05914";"10";"10";"0";"10";"10";"0"
"Regionalverband Saarbrücken";"10041";"Herne, Stadt";"05916";"30";"20";"0";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Ennepe-Ruhr-Kreis";"05954";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Siegen-Wittgenstein";"05970";"10";"10";"0";"10";"0";"0"
"Regionalverband Saarbrücken";"10041";"Unna";"05978";"20";"10";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Übrige Kreise (Regierungsbezirk)";"064xx";"0";"0";"0";"0";"0";"0"
"Regionalverband Saarbrücken";"10041";"Darmstadt, Wissenschaftsstadt";"06411";"40";"30";"20";"40";"10";"0"
"Regionalverband Saarbrücken";"10041";"Frankfurt am Main, Stadt";"06412";"590";"380";"210";"470";"120";"0"
"Regionalverband Saarbrücken";"10041";"Offenbach am Main, Stadt";"06413";"20";"10";"10";"20";"0";"0"
"Regionalverband Saarbrücken";"10041";"Wiesbaden, Landeshauptstadt";"06414";"120";"60";"60";"100";"20";"0"
"Regionalverband Saarbrücken";"10041";"Bergstraße";"06431";"30";"20";"10";"20";"10";"0"
"Regionalverband Saarbrücken";"10041";"Darmstadt-Dieburg";"06432";"30";"30";"10";"30";"0";"0"
"Regionalverband Saarbrücken";"10041";"Groß-Gerau";"06433";"100";"70";"30";"60";"40";"0"
"Regionalverband Saarbrücken";"10041";"Hochtaunuskreis";"06434";"100";"60";"40";"90";"10";"0"
"Regionalverband Saarbrücken";"10041";"Main-Kinzig-Kreis";"06435";"40";"30";"10";"30";"10";"0"
"Regionalverband Saarbrücken";"10041";"Main-Taunus-Kreis";"06436";"120";"80";"40";"90";"30";"0"
"Regionalverband Saarbrücken";"10041";"Offenbach";"06438";"120";"90";"30";"100";"30";"0"
