"Package","Version"
"readr","2.1.3"
"readxl","1.4.1"
"recipes","1.0.6"
"rematch","1.0.1"
"rematch2","2.1.2"
"remotes","2.4.2"
"renv","1.0.11"
"reprex","2.0.2"
"reshape2","1.4.4"
"ResourceSelection","0.3-6"
"rgeos","0.6-3"
"rgl","1.0.1"
"RgoogleMaps","1.4.5.3"
"rjson","0.2.21"
"rlang","1.1.1"
"rmarkdown","2.29"
"robustbase","0.99-2"
"roxygen2","7.3.2"
"rpart","4.1.19"
"rprojroot","2.0.3"
"rrcov","1.7-5"
"rsconnect","1.3.1"
"RSQLite","2.2.20"
"rstantools","2.2.0"
"rstatix","0.7.1"
"rstudioapi","0.14"
"rversions","2.1.2"
"rvest","1.0.4"
"s2","1.1.4"
"sandwich","3.0-2"
"sass","0.4.9"
"scales","1.3.0"
"sdcR","0.1.0"
"selectr","0.4-2"
"sessioninfo","1.2.2"
"sf","1.0-13"
"sfheaders","0.4.2"
"shape","1.4.6"
"shiny","1.10.0"
"sjlabelled","1.2.0"
"sjmisc","2.8.9"
"sjPlot","2.8.14"
"sjstats","0.18.2"
"slider","0.3.0"
"snakecase","0.11.0"
"sourcetools","0.1.7"
"sp","1.6-0"
"SparseM","1.81"
"spatial","7.3-16"
"spatialreg","1.2-9"
"spData","2.2.2"
"spdep","1.2-8"
"SQUAREM","2021.1"
"StanHeaders","2.21.0-7"
"stringi","1.7.12"
"stringr","1.5.0"
"survival","3.5-0"
"sys","3.4.1"
"systemfonts","1.1.0"
"TeachingDemos","2.13"
"testthat","3.1.6"
"textshaping","0.4.1"
"TH.data","1.1-1"
"tibble","3.2.1"
"tidyr","1.2.1"
"tidyselect","1.2.0"
"timechange","0.2.0"
"timeDate","4022.108"
"tinytex","0.43"
"tis","1.39"
"TMB","1.9.4"
"tzdb","0.3.0"
"units","0.8-2"
"unmarked","1.3.1"
"urca","1.3-3"
"urlchecker","1.0.1"
"usethis","3.1.0"
"utf8","1.2.2"
"uuid","1.1-0"
"vcd","1.4-10"
"vctrs","0.6.5"
"VGAM","1.1-8"
"viridis","0.6.2"
"viridisLite","0.4.1"
"vroom","1.6.1"
"waldo","0.4.0"
"warp","0.2.0"
"whisker","0.4.1"
"withr","2.5.0"
"wk","0.7.3"
"wooldridge","1.4-3"
"xfun","0.50"
"xgboost","1.7.3.1"
"xml2","1.3.4"
"xopen","1.0.0"
"xtable","1.8-4"
"xts","0.12.2"
"yaml","2.3.7"
"zip","2.2.2"
"zoo","1.8-11"
"base","4.1.2"
"boot","1.3-28"
"class","7.3-20"
"cluster","2.1.2"
"codetools","0.2-18"
"compiler","4.1.2"
"datasets","4.1.2"
"foreign","0.8-82"
"graphics","4.1.2"
"grDevices","4.1.2"
"grid","4.1.2"
"KernSmooth","2.23-20"
"lattice","0.20-45"
"MASS","7.3-55"
"Matrix","1.4-0"
"methods","4.1.2"
"mgcv","1.8-39"
"nlme","3.1-155"
"nnet","7.3-17"
"parallel","4.1.2"
"rpart","4.1.16"
"spatial","7.3-15"
"splines","4.1.2"
"stats","4.1.2"
"stats4","4.1.2"
"survival","3.2-13"
"tcltk","4.1.2"
"tools","4.1.2"
"utils","4.1.2"
