city,cityLabel,district,districtLabel,isCity,isIndependentCity,regiokeyCity,regioKey,maxPopulation,maxLoc
http://www.wikidata.org/entity/Q518432,Bad Blankenburg,http://www.wikidata.org/entity/Q7882,Landkreis Saalfeld-Rudolstadt,true,false,,16073,6407,Point(11.266666666 50.683333333)
http://www.wikidata.org/entity/Q504596,Erbendorf,http://www.wikidata.org/entity/Q10419,Landkreis Tirschenreuth,true,false,,09377,5085,Point(12.05 49.833333333)
http://www.wikidata.org/entity/Q5542,Plettenberg,http://www.wikidata.org/entity/Q5937,Märkischer Kreis,true,false,,05962,25318,Point(7.871519444 51.212761111)
http://www.wikidata.org/entity/Q15982,Wernigerode,http://www.wikidata.org/entity/Q6087,Landkreis Harz,true,false,,15085,32733,Point(10.785277777 51.835)
http://www.wikidata.org/entity/Q20077,Werdau,http://www.wikidata.org/entity/Q6330,Landkreis Zwickau,true,false,,14524,20436,Point(12.383333333 50.733333333)
http://www.wikidata.org/entity/Q26362,Lebus,http://www.wikidata.org/entity/Q6181,Landkreis Märkisch-Oderland,true,false,,12064,3180,Point(14.533055555 52.416666666)
http://www.wikidata.org/entity/Q2713,Drensteinfurt,http://www.wikidata.org/entity/Q2839,Kreis Warendorf,true,false,,05570,15542,Point(7.739166666 51.794444444)
http://www.wikidata.org/entity/Q22873,Eberbach,http://www.wikidata.org/entity/Q8177,Rhein-Neckar-Kreis,true,false,,08226,14460,Point(8.983333333 49.466666666)
http://www.wikidata.org/entity/Q553202,Oderberg,http://www.wikidata.org/entity/Q6115,Landkreis Barnim,true,false,,12060,2166,Point(14.05 52.866666666)
http://www.wikidata.org/entity/Q537491,Westerburg,http://www.wikidata.org/entity/Q8602,Westerwaldkreis,true,false,,07143,5666,Point(7.9725 50.563888888)
http://www.wikidata.org/entity/Q550623,Kenzingen,http://www.wikidata.org/entity/Q8193,Landkreis Emmendingen,true,false,,08316,10089,Point(7.768333333 48.191666666)
http://www.wikidata.org/entity/Q509038,Braubach,http://www.wikidata.org/entity/Q8601,Rhein-Lahn-Kreis,true,false,,07141,3038,Point(7.646111111 50.274722222)
http://www.wikidata.org/entity/Q161673,Heiligenhaus,http://www.wikidata.org/entity/Q6257,Kreis Mettmann,true,false,,05158,26335,Point(6.971 51.3265)
http://www.wikidata.org/entity/Q540934,Seesen,http://www.wikidata.org/entity/Q6040,Landkreis Goslar,true,false,,03153,19340,Point(10.178333333 51.893055555)
http://www.wikidata.org/entity/Q509783,Neuenburg am Rhein,http://www.wikidata.org/entity/Q8195,Landkreis Breisgau-Hochschwarzwald,true,false,,08315,12273,Point(7.561944444 47.814722222)
http://www.wikidata.org/entity/Q635901,Lychen,http://www.wikidata.org/entity/Q6109,Landkreis Uckermark,true,false,,12073,3154,Point(13.315333333 53.210055555)
http://www.wikidata.org/entity/Q570427,Obernkirchen,http://www.wikidata.org/entity/Q5966,Landkreis Schaumburg,true,false,,03257,9246,Point(9.117777777 52.266388888)
http://www.wikidata.org/entity/Q536634,Bützow,http://www.wikidata.org/entity/Q2898,Landkreis Rostock,true,false,,13072,7799,Point(11.983333333 53.85)
http://www.wikidata.org/entity/Q505656,Bad Lobenstein,http://www.wikidata.org/entity/Q7883,Saale-Orla-Kreis,true,false,,16075,5931,Point(11.6393 50.45223)
http://www.wikidata.org/entity/Q8751,Nossen,http://www.wikidata.org/entity/Q6313,Landkreis Meißen,true,false,,14627,10457,Point(13.3 51.05)
