city,cityLabel,district,districtLabel,isCity,isIndependentCity,regiokeyCity,regioKey,maxPopulation,maxLoc
http://www.wikidata.org/entity/Q556249,Krempdorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,227,Point(9.466666666 53.833333333)
http://www.wikidata.org/entity/Q556255,Vaalermoor,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,133,Point(9.331944444 53.973611111)
http://www.wikidata.org/entity/Q556261,Oelixdorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,1544,Point(9.564669444 53.926869444)
http://www.wikidata.org/entity/Q556267,Kremperheide,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,2348,Point(9.483333333 53.891666666)
http://www.wikidata.org/entity/Q558693,Kiebitzreihe,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,2172,Point(9.616666666 53.783333333)
http://www.wikidata.org/entity/Q560923,Herzhorn,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,1128,Point(9.484166666 53.790555555)
http://www.wikidata.org/entity/Q565805,Neuendorf b. Elmshorn,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,839,Point(9.566666666 53.733333333)
http://www.wikidata.org/entity/Q567409,Brokdorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,974,Point(9.330277777 53.861388888)
http://www.wikidata.org/entity/Q570330,Kronsmoor,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,180,Point(9.583333333 53.916666666)
http://www.wikidata.org/entity/Q572854,Dobitschen,http://www.wikidata.org/entity/Q7888,Landkreis Altenburger Land,false,false,,16077,447,Point(12.281666666 50.956111111)
http://www.wikidata.org/entity/Q572999,Kollmar,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,1674,Point(9.495188888 53.732769444)
http://www.wikidata.org/entity/Q588730,Rade,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,91,Point(9.75 54.0)
http://www.wikidata.org/entity/Q610074,Schlotfeld,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,241,Point(9.583611111 53.957222222)
http://www.wikidata.org/entity/Q633610,Ecklak,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,281,Point(9.266666666 53.95)
http://www.wikidata.org/entity/Q633634,Bokhorst,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,137,Point(9.4 54.066666666)
http://www.wikidata.org/entity/Q633654,Besdorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,242,Point(9.366666666 54.05)
http://www.wikidata.org/entity/Q633668,Lohbarbek,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,741,Point(9.616666666 53.95)
http://www.wikidata.org/entity/Q633689,Puls,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,580,Point(9.519722222 54.084166666)
http://www.wikidata.org/entity/Q633705,Elskop,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,164,Point(9.466666666 53.816666666)
http://www.wikidata.org/entity/Q633724,Sarlhusen,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,471,Point(9.766666666 54.016666666)
http://www.wikidata.org/entity/Q633751,Mehlbek,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,421,Point(9.433333333 54.0)
http://www.wikidata.org/entity/Q633768,Winseldorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,325,Point(9.607777777 53.946388888)
http://www.wikidata.org/entity/Q633851,Landrecht,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,110,Point(9.398611111 53.926111111)
http://www.wikidata.org/entity/Q633946,Oldendorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,1090,Point(9.433333333 53.95)
http://www.wikidata.org/entity/Q633959,Störkathen,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,107,Point(9.75 53.983333333)
http://www.wikidata.org/entity/Q634008,Bahrenfleth,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,554,Point(9.416666666 53.866666666)
http://www.wikidata.org/entity/Q634023,Silzen,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,151,Point(9.616666666 54.016666666)
http://www.wikidata.org/entity/Q634032,Bekdorf,http://www.wikidata.org/entity/Q3011,Kreis Steinburg,false,false,,01061,101,Point(9.416666666 53.916666666)
